split,rel_depth,layer_pair,d_point,d_boot_mean,boot_sd,optA_lo,optA_hi,optB_lo,optB_hi,n_proteins
full,0%,L0/L0,1.4401912659341145,1.2237089349849826,0.033231709943582835,1.3750571144446921,1.5053254174235369,1.155861324206961,1.2841901340284898,1500
full,13%,L4/L3,0.045855013501584,0.03992723951145288,0.01487582843948144,0.016698389760200376,0.07501163724296761,0.012761727592041083,0.06833379140130548,1500
full,25%,L8/L6,0.342454294270587,0.3033818509950257,0.03189645395441076,0.2799372445199419,0.4049713440212321,0.2369805454894002,0.36312829271281477,1500
full,38%,L12/L9,0.496226193569648,0.4357122224271269,0.04030548406374776,0.41722744480470236,0.5752249423345935,0.357888888704303,0.5150083232138412,1500
full,50%,L16/L12,0.6158818160376758,0.5435661485464022,0.04413892469389885,0.529369523637634,0.7023941084377175,0.45519796315331773,0.6320896259288113,1500
full,63%,L20/L15,0.5012675562686225,0.4472077474221958,0.04368740890404806,0.4156402348166883,0.5868948777205567,0.3625491241834944,0.5350297416510296,1500
full,75%,L24/L18,0.3186337465936914,0.28792706885047104,0.03723258535168327,0.2456578793043922,0.39160961388299065,0.21448055510512298,0.3626846107738026,1500
full,88%,L28/L21,0.3580894393148525,0.3312834920160482,0.025664650957880286,0.30778672343740715,0.4083921551922978,0.28139617354584845,0.38298204356605875,1500
full,100%,L32/L23,0.7302425027385444,0.6709494039095211,0.02684422556956338,0.6776278206222002,0.7828571848548886,0.6152707421539005,0.7210610144369887,1500
val,0%,L0/L0,0.742265726240547,0.5748085675201553,0.04131352949814749,0.6612912084241779,0.8232402440569161,0.4906853479128947,0.6504817740515023,150
val,13%,L4/L3,0.0632674985000402,0.054563005469708485,0.01850760281949283,0.02699259697383425,0.09954240002624615,0.02103330304150037,0.09335920288503341,150
val,25%,L8/L6,0.2213561332192209,0.16977359664735922,0.055574005817980734,0.11243108181597866,0.33028118462246314,0.06250811725462387,0.27786231884924195,150
val,38%,L12/L9,0.2999053551259934,0.22568106254875012,0.05194628565517697,0.19809063524184656,0.4017200750101403,0.11809665855383132,0.3238523343786304,150
val,50%,L16/L12,0.3409848849094477,0.25626642411723005,0.05842861788312603,0.2264647938585207,0.45550497596037476,0.13505634956535803,0.36914381594307444,150
val,63%,L20/L15,0.2904871022194078,0.21657586812644256,0.05786863255368036,0.17706458241419432,0.40390962202462133,0.09731585589373794,0.3300029509276813,150
val,75%,L24/L18,0.1727526383007173,0.12904628766287662,0.044766465890866934,0.08501036515461811,0.26049491144681647,0.03656590822011768,0.2140472629135898,150
val,88%,L28/L21,0.2095238720833975,0.1695055340994451,0.02769235804885066,0.15524685030765023,0.2638008938591448,0.11528087718950646,0.22124708958503134,150
val,100%,L32/L23,0.4240110716201933,0.34367538659380714,0.028488113341632922,0.3681743694705928,0.4798477737697938,0.28707623093636203,0.3990913561743353,150
