rel_depth,layer_pair,d_point,ci_low,ci_high,frac_pos,n_proteins_used,d_boot_mean,d_boot_sd
0%,L0/L0,1.4401912659341143,1.155861324206961,1.2841901340284898,1.0,1500,1.2237089349849826,0.033231709943582835
13%,L4/L3,0.04585501350158401,0.012761727592041083,0.06833379140130548,0.996,1500,0.03992723951145288,0.01487582843948144
25%,L8/L6,0.34245429427058705,0.2369805454894002,0.36312829271281477,1.0,1500,0.3033818509950257,0.03189645395441076
38%,L12/L9,0.496226193569648,0.357888888704303,0.5150083232138412,1.0,1500,0.4357122224271269,0.04030548406374776
50%,L16/L12,0.6158818160376758,0.45519796315331773,0.6320896259288113,1.0,1500,0.5435661485464022,0.04413892469389885
63%,L20/L15,0.5012675562686225,0.3625491241834944,0.5350297416510296,1.0,1500,0.4472077474221958,0.04368740890404806
75%,L24/L18,0.3186337465936914,0.21448055510512298,0.3626846107738026,1.0,1500,0.28792706885047104,0.03723258535168327
88%,L28/L21,0.35808943931485254,0.28139617354584845,0.38298204356605875,1.0,1500,0.3312834920160482,0.025664650957880286
100%,L32/L23,0.7302425027385444,0.6152707421539005,0.7210610144369887,1.0,1500,0.6709494039095211,0.02684422556956338
