threshold,depth,esm2,rita,protgpt2
q<0.05,0%,95.595703125,86.23046875,92.861328125
q<0.05,25%,98.3203125,89.16015625,93.30078125
q<0.05,50%,98.916015625,91.89453125,94.0625
q<0.05,75%,99.345703125,95.17415364583334,97.939453125
q<0.05,100%,99.27734375,93.32682291666666,95.576171875
q<1e-6,0%,71.533203125,49.658203125,59.521484375
q<1e-6,25%,83.57421875,52.799479166666664,61.81640625
q<1e-6,50%,88.73046875,61.42578125,61.68945312500001
q<1e-6,75%,91.650390625,69.85677083333334,80.556640625
q<1e-6,100%,91.73828125,59.4482421875,66.943359375
