rel_depth,esm2_layer,rita_layer,d_quantile90,d_fixed_05s,d_fixed_1s,d_fixed_2s,s_esm,s_rita,max_dev_from_quantile_pct
0%,0,0,1.4401910250327887,1.3883635769929805,0.7234476981391369,0.26956374688240664,0.0814208984375,0.2496337890625,81.28277831225414
13%,4,3,0.04585521145965193,0.05362014198704964,0.002390919811385007,0.06743648729031247,0.4375,0.49560546875,94.78593657017855
25%,8,6,0.34245404276192115,0.3470975319076415,0.34514655048311454,0.2473320036653785,0.42578125,0.5283203125,27.77658524027787
38%,12,9,0.4962261562325241,0.4990564743594819,0.5863053641291153,0.4012883351910114,0.355224609375,0.6025390625,19.13196631195439
50%,16,12,0.6158817849757717,0.6196096726342752,0.7570265471775385,0.5341281372253308,0.55029296875,0.66064453125,22.917508789015294
63%,20,15,0.5012676122972809,0.5052939826509338,0.6883153000103679,0.4890967144291991,0.67822265625,0.69873046875,37.31493579963367
75%,24,18,0.31863350037626065,0.32116516594255573,0.5397189214878623,0.3442035931119805,0.77490234375,0.73486328125,69.3854917485234
88%,28,21,0.35808950938684503,0.3605195890074286,0.62056864880227,0.22858714455232892,0.79931640625,0.76171875,73.29986847837759
100%,32,23,0.7302422350572219,0.7749550750851514,0.9554965038382993,0.2636823648156708,0.740234375,0.529296875,63.891110078697565
