model,rel_depth,layer,mean_point,mean_boot,boot_sd,ci_lo,ci_hi
esm2,0%,0,0.1428778900774765,0.14118531822228636,0.003930595224366997,0.1351739234377172,0.1505818567172358
rita,0%,0,0.0024771794143062438,0.0024823032267284836,0.0011628931911335765,0.00019790875968443396,0.004756450068928053
esm2,13%,4,0.004688397018773621,0.004681782091395474,0.0007103063647940797,0.003296196543777225,0.006080597493770017
rita,13%,3,0.0020492701082941056,0.0019863286226193015,0.001122917187139998,-0.00015164757850029019,0.004250187795088501
esm2,25%,8,0.019491601468396534,0.019365066604536102,0.0020606272901322006,0.01545277197973742,0.023530430957055648
rita,25%,6,0.0025964509632944457,0.0024685518582286525,0.0013574171208234522,-6.408659351952051e-05,0.005256988520108412
esm2,38%,12,0.039796241738659845,0.03938448153858381,0.003712456705028344,0.03251982659680429,0.0470726568805154
rita,38%,9,0.003494848658089805,0.003296254887045372,0.001557736931961885,0.00044168427144451045,0.006548013044735099
esm2,50%,16,0.05271666705560285,0.05221759020397765,0.004863719210544256,0.04318377740293611,0.06224955670826959
rita,50%,12,0.0028635445687429095,0.0027184646416788956,0.0015282788256081711,-0.0001318819294491057,0.005858971066934925
esm2,63%,20,0.04576397270160876,0.0453607152737997,0.004752350628802682,0.036449365469155504,0.05507857993406201
rita,63%,15,0.004284193743158433,0.004104648509071179,0.001472235905113861,0.0013986113691352654,0.0071697761171816005
esm2,75%,24,0.02570726325809521,0.02550899124550646,0.003402327039414811,0.01903870226084218,0.03237582425534824
rita,75%,18,0.003396030899417885,0.0032204116042583303,0.0015934654655614684,0.0002728385869174071,0.006519223211918363
esm2,88%,28,0.02195132875339307,0.021923511541071118,0.0016161169794721676,0.01878373947362762,0.025118918033158518
rita,88%,21,0.0029671098213438648,0.002834835744553862,0.00130976138053186,0.0003999775155014195,0.00553424212718631
esm2,100%,32,0.03354484153987865,0.033514466273691514,0.0009729699309658918,0.0316378204751855,0.035451862604571796
rita,100%,23,0.0010466869286196972,0.0009619713137884547,0.0015377886826393264,-0.0019673788893533823,0.004060752746592777
prott5_enc,0%,0,0.006317392452156501,0.006296521109130712,0.0006129949943642375,0.005115922263202595,0.007518862641110407
prott5_dec,0%,0,0.01712880009505973,0.017125110763940618,0.0007119592698451913,0.015733359926163155,0.018524240263956306
prott5_enc,13%,3,0.004876113635259253,0.004880081681362782,0.0005446430528217275,0.003808613251728667,0.0059436140187898385
prott5_dec,13%,3,0.020481861294198545,0.020464474882780366,0.0010866823707559004,0.01835196384751698,0.02261175874088011
prott5_enc,25%,6,-0.00044719615354679487,-0.0004379775532694371,0.0008348048421231996,-0.002083413644108266,0.0011890213370146763
prott5_dec,25%,6,0.014549249657414701,0.01453489673789609,0.0012179685011306004,0.012162031395198725,0.016936467919630677
prott5_enc,38%,9,0.005681787696941328,0.0056983341815543724,0.0010782904157145856,0.0035683384821407404,0.007795236911741916
prott5_dec,38%,9,0.011206706520007192,0.011201324283852265,0.0012526510770206952,0.00875151040904663,0.013661902630967754
prott5_enc,50%,12,0.029728059285042015,0.029629590509310032,0.0021286570833154404,0.025555891401743754,0.03390022716834028
prott5_dec,50%,12,0.008352514779300848,0.008347824654907118,0.0012501700520580834,0.005902181477267005,0.010802848081334691
prott5_enc,63%,15,0.0337906414530519,0.033658027299164,0.002410384117812613,0.029066288582139176,0.038514994323964616
prott5_dec,63%,15,0.007610207669121622,0.007624824447291577,0.001229921620394284,0.005199561293148825,0.010020854045094419
prott5_enc,75%,18,0.03845016893957438,0.038381926584656736,0.0021561376416292088,0.03422413916198114,0.04267619871716763
prott5_dec,75%,18,0.008894224780996591,0.008895646310360692,0.001140466093808556,0.006658911237131821,0.011129538324861361
prott5_enc,88%,21,0.052436101116623314,0.052402112708840716,0.0016709854408279814,0.04916096965260047,0.055711232580646156
prott5_dec,88%,21,0.015592951789519405,0.015606054373274553,0.0009000358754815279,0.01382888147357561,0.0173570221054632
prott5_enc,100%,23,0.036400599522543514,0.036393735250030514,0.0010578917724941134,0.03432713164845505,0.03847406739663198
prott5_dec,100%,23,0.01632748430611424,0.01631639163752824,0.000648056830335638,0.01505729291865639,0.017597675693572092
