model_a,layer_a,model_b,layer_b,rel_depth_a,rel_depth_b,contact_cutoff,mean_a,mean_b,cohens_d,MW_p,significant,hypothesis
prott5_enc,0,prott5_dec,0,0.0,0.0,6.0,0.007129081524908543,0.016491062939167023,-0.254750092353617,1.0,False,H3 (ProtT5 enc struct > dec struct)
prott5_enc,0,prott5_dec,0,0.0,0.0,8.0,0.006317388266324997,0.017128800973296165,-0.29580813674956863,1.0,False,H3 (ProtT5 enc struct > dec struct)
prott5_enc,0,prott5_dec,0,0.0,0.0,10.0,0.0020925975404679775,0.016287468373775482,-0.5036187569748175,1.0,False,H3 (ProtT5 enc struct > dec struct)
prott5_enc,3,prott5_dec,3,0.13043478260869565,0.13043478260869565,6.0,0.006095102056860924,0.018945027142763138,-0.33705785583977077,1.0,False,H3 (ProtT5 enc struct > dec struct)
prott5_enc,3,prott5_dec,3,0.13043478260869565,0.13043478260869565,8.0,0.004876114893704653,0.020481865853071213,-0.40156900763602743,1.0,False,H3 (ProtT5 enc struct > dec struct)
prott5_enc,3,prott5_dec,3,0.13043478260869565,0.13043478260869565,10.0,0.0010124894324690104,0.017315134406089783,-0.5054696102856076,1.0,False,H3 (ProtT5 enc struct > dec struct)
prott5_enc,6,prott5_dec,6,0.2608695652173913,0.2608695652173913,6.0,0.003950589336454868,0.015244883485138416,-0.2877329875381087,1.0,False,H3 (ProtT5 enc struct > dec struct)
prott5_enc,6,prott5_dec,6,0.2608695652173913,0.2608695652173913,8.0,-0.0004472020664252341,0.014549249783158302,-0.38131108973677175,1.0,False,H3 (ProtT5 enc struct > dec struct)
prott5_enc,6,prott5_dec,6,0.2608695652173913,0.2608695652173913,10.0,-0.007255256175994873,0.009981123730540276,-0.5146077653196055,1.0,False,H3 (ProtT5 enc struct > dec struct)
prott5_enc,9,prott5_dec,9,0.391304347826087,0.391304347826087,6.0,0.008129531517624855,0.012880651280283928,-0.11313152622286322,0.999999463558197,False,H3 (ProtT5 enc struct > dec struct)
prott5_enc,9,prott5_dec,9,0.391304347826087,0.391304347826087,8.0,0.0056817904114723206,0.01120670698583126,-0.1307857656228035,1.0,False,H3 (ProtT5 enc struct > dec struct)
prott5_enc,9,prott5_dec,9,0.391304347826087,0.391304347826087,10.0,-0.001557396724820137,0.005327396094799042,-0.18878933454506833,1.0,False,H3 (ProtT5 enc struct > dec struct)
prott5_enc,12,prott5_dec,12,0.5217391304347826,0.5217391304347826,6.0,0.025759093463420868,0.011074614711105824,0.2857870219306237,0.0,True,H3 (ProtT5 enc struct > dec struct)
prott5_enc,12,prott5_dec,12,0.5217391304347826,0.5217391304347826,8.0,0.029728053137660027,0.008352510631084442,0.40243233389505,0.0,True,H3 (ProtT5 enc struct > dec struct)
prott5_enc,12,prott5_dec,12,0.5217391304347826,0.5217391304347826,10.0,0.02201363630592823,0.0020016063936054707,0.41284558384584463,0.0,True,H3 (ProtT5 enc struct > dec struct)
prott5_enc,15,prott5_dec,15,0.6521739130434783,0.6521739130434783,6.0,0.029552247375249863,0.010280382819473743,0.31666791812364775,0.0,True,H3 (ProtT5 enc struct > dec struct)
prott5_enc,15,prott5_dec,15,0.6521739130434783,0.6521739130434783,8.0,0.033790647983551025,0.00761021301150322,0.4264703335506569,0.0,True,H3 (ProtT5 enc struct > dec struct)
prott5_enc,15,prott5_dec,15,0.6521739130434783,0.6521739130434783,10.0,0.024943342432379723,0.0013449543621391058,0.4242557866917566,0.0,True,H3 (ProtT5 enc struct > dec struct)
prott5_enc,18,prott5_dec,18,0.782608695652174,0.782608695652174,6.0,0.03532329201698303,0.011252276599407196,0.4013796398809742,0.0,True,H3 (ProtT5 enc struct > dec struct)
prott5_enc,18,prott5_dec,18,0.782608695652174,0.782608695652174,8.0,0.03845017030835152,0.00889422744512558,0.5006654686342471,0.0,True,H3 (ProtT5 enc struct > dec struct)
prott5_enc,18,prott5_dec,18,0.782608695652174,0.782608695652174,10.0,0.028997257351875305,0.003052298678085208,0.5084510202801709,0.0,True,H3 (ProtT5 enc struct > dec struct)
prott5_enc,21,prott5_dec,21,0.9130434782608695,0.9130434782608695,6.0,0.043697554618120193,0.015317090786993504,0.5161968600389867,0.0,True,H3 (ProtT5 enc struct > dec struct)
prott5_enc,21,prott5_dec,21,0.9130434782608695,0.9130434782608695,8.0,0.05243609845638275,0.015592949464917183,0.687780006854716,0.0,True,H3 (ProtT5 enc struct > dec struct)
prott5_enc,21,prott5_dec,21,0.9130434782608695,0.9130434782608695,10.0,0.04540505260229111,0.010918037965893745,0.8048059539710535,0.0,True,H3 (ProtT5 enc struct > dec struct)
prott5_enc,23,prott5_dec,23,1.0,1.0,6.0,0.03204777464270592,0.014164386317133904,0.44548746263214517,0.0,True,H3 (ProtT5 enc struct > dec struct)
prott5_enc,23,prott5_dec,23,1.0,1.0,8.0,0.036400601267814636,0.016327492892742157,0.5035986134294724,0.0,True,H3 (ProtT5 enc struct > dec struct)
prott5_enc,23,prott5_dec,23,1.0,1.0,10.0,0.030136607587337494,0.013637937605381012,0.5664089658049806,0.0,True,H3 (ProtT5 enc struct > dec struct)
